Date,Price,Open,High,Low,Vol.,Change %
"Nov 10, 2019","9,036.80","8,804.70","9,092.90","8,763.50",581.57K,2.64%
"Nov 09, 2019","8,804.50","8,778.10","8,877.50","8,746.90",512.02K,0.30%
"Nov 08, 2019","8,778.20","9,223.60","9,254.80","8,722.40",791.79K,-4.83%
"Nov 07, 2019","9,223.50","9,339.20","9,367.00","9,130.00",603.54K,-1.24%
"Nov 06, 2019","9,338.90","9,311.20","9,424.60","9,262.70",578.03K,0.30%
"Nov 05, 2019","9,310.80","9,396.10","9,452.70","9,193.90",653.42K,-0.91%
"Nov 04, 2019","9,396.40","9,198.70","9,500.40","9,134.10",681.01K,2.15%
"Nov 03, 2019","9,198.30","9,300.50","9,359.10","9,095.00",536.56K,-1.10%
"Nov 02, 2019","9,300.60","9,230.30","9,356.70","9,201.20",570.74K,0.76%
"Nov 01, 2019","9,230.10","9,153.10","9,270.40","9,057.20",689.65K,0.85%
"Oct 31, 2019","9,152.60","9,157.90","9,378.90","8,959.60",798.93K,-0.06%
"Oct 30, 2019","9,157.90","9,411.30","9,411.30","9,018.40",789.73K,-2.69%
"Oct 29, 2019","9,411.30","9,206.50","9,531.30","9,125.30",918.48K,2.22%
"Oct 28, 2019","9,207.20","9,530.10","9,866.90","9,202.50",1.04M,-3.38%
"Oct 27, 2019","9,529.60","9,230.60","9,773.20","9,081.00",1.16M,3.24%
"Oct 26, 2019","9,230.60","8,658.40","10,540.00","8,061.80",1.78M,6.61%
"Oct 25, 2019","8,658.30","7,422.80","8,697.70","7,404.90",1.18M,16.65%
"Oct 24, 2019","7,422.70","7,476.80","7,501.50","7,366.30",586.49K,-0.73%
"Oct 23, 2019","7,477.00","8,031.00","8,055.00","7,329.20",892.08K,-6.90%
"Oct 22, 2019","8,031.40","8,207.40","8,289.10","8,017.70",570.39K,-2.15%
"Oct 21, 2019","8,208.20","8,224.10","8,315.30","8,155.70",489.40K,-0.18%
"Oct 20, 2019","8,223.40","7,957.40","8,288.50","7,889.60",513.91K,3.34%
"Oct 19, 2019","7,957.30","7,948.30","8,060.20","7,892.40",428.83K,0.11%
"Oct 18, 2019","7,948.50","8,073.30","8,116.40","7,842.00",505.79K,-1.55%
"Oct 17, 2019","8,073.30","8,000.40","8,118.20","7,944.40",444.95K,0.91%
"Oct 16, 2019","8,000.40","8,167.10","8,185.90","7,929.80",538.92K,-2.04%
"Oct 15, 2019","8,167.20","8,353.40","8,400.20","8,139.50",469.73K,-2.23%
"Oct 14, 2019","8,353.30","8,281.30","8,374.30","8,222.20",505.02K,0.87%
"Oct 13, 2019","8,281.50","8,304.30","8,450.20","8,190.60",419.87K,-0.28%
"Oct 12, 2019","8,304.40","8,267.60","8,394.80","8,260.90",424.02K,0.44%
"Oct 11, 2019","8,267.80","8,562.20","8,751.10","8,249.70",667.86K,-3.44%
"Oct 10, 2019","8,562.30","8,566.80","8,638.50","8,438.70",511.46K,-0.05%
"Oct 09, 2019","8,566.70","8,180.10","8,655.90","8,122.70",636.43K,4.69%
"Oct 08, 2019","8,182.90","8,198.50","8,323.10","8,118.10",469.04K,-0.19%
"Oct 07, 2019","8,198.60","7,882.60","8,293.50","7,797.00",604.74K,4.02%
"Oct 06, 2019","7,881.90","8,127.30","8,145.50","7,834.90",448.80K,-3.02%
"Oct 05, 2019","8,127.30","8,148.00","8,185.10","8,030.60",360.92K,-0.25%
"Oct 04, 2019","8,148.10","8,227.60","8,233.60","8,041.40",416.92K,-0.96%
"Oct 03, 2019","8,226.90","8,363.60","8,391.70","8,090.10",460.97K,-1.64%
"Oct 02, 2019","8,364.10","8,302.70","8,374.00","8,167.70",405.86K,0.74%
"Oct 01, 2019","8,302.70","8,285.00","8,486.20","8,187.90",533.95K,0.22%
"Sep 30, 2019","8,284.30","8,048.90","8,318.50","7,749.00",600.26K,2.92%
"Sep 29, 2019","8,049.10","8,208.00","8,226.80","7,922.10",418.48K,-1.94%
"Sep 28, 2019","8,208.50","8,184.50","8,297.20","8,031.10",457.79K,0.29%
"Sep 27, 2019","8,184.90","8,063.80","8,257.40","7,882.10",561.40K,1.50%
"Sep 26, 2019","8,063.80","8,432.50","8,463.10","7,773.60",731.03K,-4.37%
"Sep 25, 2019","8,432.40","8,512.30","8,729.80","8,245.10",696.11K,-0.96%
"Sep 24, 2019","8,513.90","9,702.70","9,793.80","8,069.40",933.16K,-12.25%
"Sep 23, 2019","9,702.20","10,031.30","10,048.80","9,656.30",431.10K,-3.28%
"Sep 22, 2019","10,031.60","9,993.00","10,075.00","9,870.90",337.06K,0.39%
"Sep 21, 2019","9,993.00","10,172.80","10,177.90","9,939.80",326.17K,-1.77%
"Sep 20, 2019","10,172.70","10,251.50","10,279.50","10,088.60",362.07K,-0.76%
"Sep 19, 2019","10,250.50","10,164.60","10,297.60","9,707.60",542.25K,0.84%
"Sep 18, 2019","10,164.70","10,195.70","10,257.50","10,119.30",318.82K,-0.30%
"Sep 17, 2019","10,195.70","10,254.60","10,273.60","10,153.50",321.64K,-0.58%
"Sep 16, 2019","10,255.50","10,311.30","10,360.50","10,108.50",372.53K,-0.54%
"Sep 15, 2019","10,311.50","10,337.30","10,360.40","10,272.00",255.79K,-0.25%
"Sep 14, 2019","10,337.30","10,342.20","10,421.40","10,253.70",326.44K,-0.05%
"Sep 13, 2019","10,342.10","10,415.20","10,441.40","10,174.10",365.52K,-0.70%
"Sep 12, 2019","10,415.10","10,162.40","10,447.90","10,051.00",413.22K,2.49%
"Sep 11, 2019","10,162.50","10,104.90","10,257.50","9,908.90",413.06K,0.57%
"Sep 10, 2019","10,105.40","10,308.70","10,379.80","9,970.70",383.22K,-1.98%
"Sep 09, 2019","10,309.00","10,402.10","10,478.00","10,095.70",473.76K,-0.90%
"Sep 08, 2019","10,402.80","10,461.60","10,578.00","10,266.30",339.73K,-0.56%
"Sep 07, 2019","10,461.10","10,306.90","10,556.40","10,302.30",393.57K,1.47%
"Sep 06, 2019","10,309.30","10,566.70","10,896.20","10,227.40",643.02K,-2.44%
"Sep 05, 2019","10,566.90","10,567.80","10,630.70","10,469.90",402.09K,-0.01%
"Sep 04, 2019","10,568.20","10,611.60","10,783.60","10,388.60",504.45K,-0.42%
"Sep 03, 2019","10,612.30","10,348.10","10,756.80","10,283.50",578.79K,2.55%
"Sep 02, 2019","10,348.80","9,728.80","10,431.50","9,720.30",542.79K,6.37%
"Sep 01, 2019","9,729.30","9,594.70","9,799.50","9,533.60",322.66K,1.41%
